int_team_id,str_url,dt_crawled
145,https://sofifa.com/team/111144/seattle-sounders-fc/,2020-11-15 00:14:32.721411
146,https://sofifa.com/team/819/fc-kobenhavn/,2020-11-15 00:14:32.721798
147,https://sofifa.com/team/567/fluminense/,2020-11-15 00:14:32.722178
148,https://sofifa.com/team/64/racing-club-de-lens/,2020-11-15 00:14:32.722558
149,https://sofifa.com/team/68/fc-metz/,2020-11-15 00:14:32.722997
150,https://sofifa.com/team/378/stade-brestois-29/,2020-11-15 00:14:32.723381
151,https://sofifa.com/team/110975/universidad-catolica/,2020-11-15 00:14:32.723765
152,https://sofifa.com/team/896/fc-basel-1893/,2020-11-15 00:14:32.724148
153,https://sofifa.com/team/900/bsc-young-boys/,2020-11-15 00:14:32.724528
154,https://sofifa.com/team/112026/benevento/,2020-11-15 00:14:32.724907
155,https://sofifa.com/team/1968/cadiz-cf/,2020-11-15 00:14:32.725285
156,https://sofifa.com/team/101041/sivasspor/,2020-11-15 00:14:32.725663
157,https://sofifa.com/team/436/trabzonspor/,2020-11-15 00:14:32.726341
158,https://sofifa.com/team/111044/coritiba/,2020-11-15 00:14:32.726731
159,https://sofifa.com/team/453/rcd-mallorca/,2020-11-15 00:14:32.727116
160,https://sofifa.com/team/211/dinamo-zagreb/,2020-11-15 00:14:32.727516
161,https://sofifa.com/team/224/nimes-olympique/,2020-11-15 00:14:32.727900
162,https://sofifa.com/team/101088/velez-sarsfield/,2020-11-15 00:14:32.728282
163,https://sofifa.com/team/229/rsc-anderlecht/,2020-11-15 00:14:32.728663
164,https://sofifa.com/team/232/standard-de-liege/,2020-11-15 00:14:32.729045
165,https://sofifa.com/team/101108/olimpia-asuncion/,2020-11-15 00:14:32.729426
166,https://sofifa.com/team/1793/reading/,2020-11-15 00:14:32.729807
167,https://sofifa.com/team/1801/preston-north-end/,2020-11-15 00:14:32.730189
168,https://sofifa.com/team/112139/al-nassr/,2020-11-15 00:14:32.730569
169,https://sofifa.com/team/1806/stoke-city/,2020-11-15 00:14:32.730949
170,https://sofifa.com/team/1039/club-athletico-paranaense/,2020-11-15 00:14:32.731336
171,https://sofifa.com/team/111140/portland-timbers/,2020-11-15 00:14:32.731717
172,https://sofifa.com/team/110636/fortuna-dusseldorf/,2020-11-15 00:14:32.732098
173,https://sofifa.com/team/569/vasco-da-gama/,2020-11-15 00:14:32.732481
174,https://sofifa.com/team/110395/club-atletico-lanus/,2020-11-15 00:14:32.732863
175,https://sofifa.com/team/1598/bahia/,2020-11-15 00:14:32.733247
176,https://sofifa.com/team/110144/santos-laguna/,2020-11-15 00:14:32.733628
177,https://sofifa.com/team/1861/ud-almeria/,2020-11-15 00:14:32.734008
178,https://sofifa.com/team/88/birmingham-city/,2020-11-15 00:14:32.734390
179,https://sofifa.com/team/1881/unam/,2020-11-15 00:14:32.734771
180,https://sofifa.com/team/1884/panathinaikos-fc/,2020-11-15 00:14:32.735151
181,https://sofifa.com/team/111710/defensa-y-justicia/,2020-11-15 00:14:32.735532
182,https://sofifa.com/team/1887/vitoria-guimaraes/,2020-11-15 00:14:32.735913
183,https://sofifa.com/team/113259/yeni-malatyaspor/,2020-11-15 00:14:32.736294
184,https://sofifa.com/team/1903/fc-utrecht/,2020-11-15 00:14:32.736676
185,https://sofifa.com/team/110980/colo-colo/,2020-11-15 00:14:32.737057
186,https://sofifa.com/team/1925/brentford/,2020-11-15 00:14:32.737437
187,https://sofifa.com/team/112791/spal/,2020-11-15 00:14:32.737826
188,https://sofifa.com/team/111768/beijing-sinobo-guoan-fc/,2020-11-15 00:14:32.738205
189,https://sofifa.com/team/670/sporting-de-charleroi/,2020-11-15 00:14:32.738588
190,https://sofifa.com/team/159/dsc-arminia-bielefeld/,2020-11-15 00:14:32.739164
191,https://sofifa.com/team/111008/club-libertad/,2020-11-15 00:14:32.739658
192,https://sofifa.com/team/1961/cardiff-city/,2020-11-15 00:14:32.740072
193,https://sofifa.com/team/101037/caykur-rizespor/,2020-11-15 00:14:32.740740
194,https://sofifa.com/team/687/columbus-crew-sc/,2020-11-15 00:14:32.741133
195,https://sofifa.com/team/111042/goias/,2020-11-15 00:14:32.741520
196,https://sofifa.com/team/101083/estudiantes-de-la-plata/,2020-11-15 00:14:32.741904
197,https://sofifa.com/team/111325/nacional-de-montevideo/,2020-11-15 00:14:32.742288
198,https://sofifa.com/team/111839/guangzhou-evergrande-taobao-fc/,2020-11-15 00:14:32.742674
199,https://sofifa.com/team/485/hannover-96/,2020-11-15 00:14:32.743060
200,https://sofifa.com/team/741/antalyaspor/,2020-11-15 00:14:32.743445
201,https://sofifa.com/team/110569/dijon-fco/,2020-11-15 00:14:32.743827
202,https://sofifa.com/team/1516/fc-midtjylland/,2020-11-15 00:14:32.744231
203,https://sofifa.com/team/101101/junior-fc/,2020-11-15 00:14:32.744614
204,https://sofifa.com/team/110062/girona-fc/,2020-11-15 00:14:32.744998
205,https://sofifa.com/team/101110/penarol/,2020-11-15 00:14:32.745380
206,https://sofifa.com/team/113142/alanyaspor/,2020-11-15 00:14:32.745761
207,https://sofifa.com/team/112119/atletico-clube-goianiense/,2020-11-15 00:14:32.746142
208,https://sofifa.com/team/252/lask-linz/,2020-11-15 00:14:32.746525
209,https://sofifa.com/team/112893/inter-miami/,2020-11-15 00:14:32.746907
210,https://sofifa.com/team/3/blackburn-rovers/,2020-11-15 00:14:32.747288
211,https://sofifa.com/team/112387/al-ahli/,2020-11-15 00:14:32.747672
212,https://sofifa.com/team/260/cd-tenerife/,2020-11-15 00:14:32.748054
213,https://sofifa.com/team/12/middlesbrough/,2020-11-15 00:14:32.748438
214,https://sofifa.com/team/111117/fatih-karagumruk-sk/,2020-11-15 00:14:32.748821
215,https://sofifa.com/team/1807/sheffield-wednesday/,2020-11-15 00:14:32.749203
216,https://sofifa.com/team/112670/club-atletico-talleres/,2020-11-15 00:14:32.749584
217,https://sofifa.com/team/111651/toronto-fc/,2020-11-15 00:14:32.749965
218,https://sofifa.com/team/111674/al-shabab/,2020-11-15 00:14:32.750348
219,https://sofifa.com/team/110396/newells-old-boys/,2020-11-15 00:14:32.750730
220,https://sofifa.com/team/62/en-avant-de-guingamp/,2020-11-15 00:14:32.751113
221,https://sofifa.com/team/111678/club-tijuana/,2020-11-15 00:14:32.751494
222,https://sofifa.com/team/320/malmo-ff/,2020-11-15 00:14:32.751874
223,https://sofifa.com/team/110147/pachuca/,2020-11-15 00:14:32.752255
224,https://sofifa.com/team/110406/club-atletico-colon/,2020-11-15 00:14:32.752638
225,https://sofifa.com/team/1880/guadalajara/,2020-11-15 00:14:32.753017
226,https://sofifa.com/team/1882/deportivo-toluca/,2020-11-15 00:14:32.753396
227,https://sofifa.com/team/91/derby-county/,2020-11-15 00:14:32.753778
228,https://sofifa.com/team/97/millwall/,2020-11-15 00:14:32.754157
229,https://sofifa.com/team/112996/los-angeles-fc/,2020-11-15 00:14:32.754533
230,https://sofifa.com/team/1898/boavista-fc/,2020-11-15 00:14:32.755400
231,https://sofifa.com/team/110955/shanghai-greenland-shenhua-fc/,2020-11-15 00:14:32.755812
232,https://sofifa.com/team/111730/kawasaki-frontale/,2020-11-15 00:14:32.756202
233,https://sofifa.com/team/1919/bristol-city/,2020-11-15 00:14:32.756591
234,https://sofifa.com/team/110734/crotone/,2020-11-15 00:14:32.756977
235,https://sofifa.com/team/101007/mke-ankaragucu/,2020-11-15 00:14:32.757362
236,https://sofifa.com/team/110741/spezia/,2020-11-15 00:14:32.757751
237,https://sofifa.com/team/101020/kayserispor/,2020-11-15 00:14:32.758131
238,https://sofifa.com/team/112540/shanghai-sipg-fc/,2020-11-15 00:14:32.758513
239,https://sofifa.com/team/1960/swansea-city/,2020-11-15 00:14:32.758895
240,https://sofifa.com/team/101033/atiker-konyaspor/,2020-11-15 00:14:32.759277
241,https://sofifa.com/team/112809/famalicao/,2020-11-15 00:14:32.759658
