Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
UMI,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Materials,"CHAMNAN PENCHAT BUSINESS CENTER BLDG, FLOOR 29, 65 RAMA IX ROAD, HUAI KHWANG Bangkok",10320,0-2248-7007-65,0-2248-7005-6,www.umi-tiles.com
UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"26/23 Orakarn Building, 7th Floor, Soi Chidlom, Ploenchit Road, Lumpinee, Pathumwan Bangkok",10330,0-2655-7501-2,0-2655-7501-2,www.umspcl.com
UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Services,"JASMINE INTERNATIONAL TOWER, FLOOR 15, 200 MOO 4, CHAENGWATTANA ROAD, PAK KRET Nonthaburi",11120,0-2582-1888,0-2582-3196,http://www.unique.co.th
UOBKH,UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Finance & Securities,"130-132 Sindhorn Tower 1, 2nd, 3rd Floor, Wireless Road, Lumpini, Pathumwan Bangkok",10330,0-2659-8000,0-2263-2807,www.utrade.co.th
UP,UNION PLASTIC PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Petrochemicals & Chemicals,"NG.11 MOO 14, BANGCHAN INDUSTRIAL ESTATE, MIN BURI Bangkok",10510,0-2517-0109-14,0-2517-0529,www.unionplastic.co.th
UPA,UNITED POWER OF ASIA PUBLIC COMPANY LIMITED,mai,False,False,False,Technology,-,"1, Q-House Lumpini Building, Floor 11, Room 1103, South Sathon Rd., Thung Maha Mek, Sathon Bangkok",10120,0-2677-7151-4,0-2677-7155,http://www.unitedpowerofasia.com
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"No. 1 Soi Serithai 62, Khwaeng Minburi, Khet Minburi Bangkok",10510,0-2517-0105-8,"0-2517-0345, 0-2517-9056",www.unionpioneer.co.th
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,SET,False,False,False,Agro & Food Industry,Agribusiness,"64, 1st Floor, Soi Bangna-Trad 25, BANG NA Bangkok",10260,0-2744-1046-8,0-2744-1049,www.upoic.co.th
URBNPF,URBANA PROPERTY FUND (LEASE HOLD),SET,False,False,False,Property & Construction,Property Fund & REITs,"19th Floor, Muang Thai ? Phatra Complex Building Tower A, 252/25 Ratchadaphisek Road, Huaykwang Bangkok",10310,0-2305-9800,0-2305-9803-4,http://www.phatraasset.com
UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"19 Moo 11, Tambon Ladsawai, Amphoe Lamlukka Pathum Thani",12150,0-2192-3737,0-2192-3743-44,http://www.eurekadesign.co.th
