Menu,Serving Size (G),Calories,Protein (g),Total Carbs (g),Sodium (mg),Sugars (g),Weight Watchers,Category
Mint Chocolate Chip Ice Cream Quart,1/2 cup,170,3,18,60,17,5,Pre-Packed Ice Cream
OREO® Cookies ‘n Cream Ice Cream Quart,1/2 cup,170,3,19,100,15,5,Pre-Packed Ice Cream
Old Fashioned Butter Pecan Ice Cream Quart,1/2 cup,170,3,14,75,13,5,Pre-Packed Ice Cream
Peanut Butter ‘n Chocolate Ice Cream Quart,1/2 cup,210,5,20,110,17,6,Pre-Packed Ice Cream
Pralines ‘n Cream Ice Cream Quart,1/2 cup,190,3,25,120,21,6,Pre-Packed Ice Cream
Rainbow Sherbet Quart,1/2 cup,100,1,22,25,21,3,Pre-Packed Ice Cream
Rocky Road Ice Cream Quart,1/2 cup,170,4,20,75,17,5,Pre-Packed Ice Cream
Vanilla Ice Cream Quart,1/2 cup,170,3,17,45,17,5,Pre-Packed Ice Cream
Very Berry Strawberry Ice Cream Quart,1/2 cup,140,2,18,45,17,4,Pre-Packed Ice Cream
Agent 31 Sundae,292 grams,850,11,121,440,94,25,Premium Sundaes
Apple Cinnamon Crisp Waffle Bowl Sundae,272 grams,700,9,110,310,77,19,Premium Sundaes
Chocolate Chip Cookie Dough Sundae,337 grams,990,13,138,540,107,27,Premium Sundaes
Lunar Lander Sundae,292 grams,820,9,130,570,98,23,Premium Sundaes
OREO® ‘n Chocolate Layered Sundae,339 grams,1030,14,146,540,111,29,Premium Sundaes
OREO® Layered Sundae,347 grams,1330,14,189,950,146,38,Premium Sundaes
OREO® Nuttty Salted Caramel Layered Sundae,362 grams,1060,14,156,810,114,29,Premium Sundaes
Reese’s® Buzzer Beater Layered Sundae,363grams,1360,32,110,760,89,40,Premium Sundaes
Reese’s® Peanut Butter Cup Sundae,344 grams,1220,27,109,700,92,35,Premium Sundaes
Warm Belgian Waffle Sundae,250g,740,9,104,350,78,21,Premium Sundaes
Warm Brownie Sundae,270g,820,11,101,360,83,23,Premium Sundaes
made with Snickers® Sundae,340 grams,1000,16,138,710,113,28,Premium Sundaes
Banana Nut Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,15,45,14,4,Regional Flavors
Banana Nut Ice Cream – 4 oz Scoop,4 oz,250,5,25,75,22,7,Regional Flavors
Bananas ‘n Strawberry Flavored Ice Cream – 2.5 oz Scoop,2.5 oz,140,2,17,55,14,4,Regional Flavors
Bananas ‘n Strawberry Flavored Ice Cream – 4 oz Scoop,4 oz,220,4,28,85,23,6,Regional Flavors
Black Walnut Ice Cream – 2.5 oz Scoop,2.5 oz,180,4,16,55,14,5,Regional Flavors
Black Walnut Ice Cream – 4 oz Scoop,4 oz,280,7,25,90,23,8,Regional Flavors
Chocolate Almond Ice Cream – 2.5 oz Scoop,2.5 oz,190,4,20,80,17,6,Regional Flavors
Chocolate Almond Ice Cream – 4 oz Scoop,4 oz,300,7,32,125,28,9,Regional Flavors
Creole Cream Cheese Ice Cream – 2.5 oz Scoop,2.5 oz,150,3,16,60,14,4,Regional Flavors
Creole Cream Cheese Ice Cream – 4 oz Scoop,4 oz,230,5,25,95,23,7,Regional Flavors
Fudge Brownie Ice Cream – 2.5 oz Scoop,2.5 oz,190,3,22,90,19,6,Regional Flavors
Fudge Brownie Ice Cream – 4 oz Scoop,4 oz,310,5,35,140,30,9,Regional Flavors
Lemon Custard Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,19,65,18,4,Regional Flavors
Lemon Custard Ice Cream – 4 oz Scoop,4 oz,260,5,30,105,28,7,Regional Flavors
Mississippi Mudd Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,23,95,19,5,Regional Flavors
Mississippi Mudd Ice Cream – 4 oz Scoop,4 oz,280,4,37,150,30,8,Regional Flavors
Orange Sherbet – 2.5 oz Scoop,2.5 oz,100,1,21,25,21,3,Regional Flavors
Orange Sherbet – 4 oz Scoop 113 grams,4 oz,160,2,34,35,33,4,Regional Flavors
Oregon Blackberry Ice Cream – 2.5 oz Scoop,2.5 oz,150,3,16,55,14,4,Regional Flavors
Oregon Blackberry Ice Cream – 4 oz Scoop,4 oz,240,4,25,85,23,6,Regional Flavors
Rum Raisin Ice Cream – 2.5 oz Scoop,2.5 oz,150,3,19,55,18,4,Regional Flavors
Rum Raisin Ice Cream – 4 oz Scoop,4 oz,240,4,30,85,29,6,Regional Flavors
Splish Splash® Sherbet – 2.5 oz Scoop,2.5 oz,80,1,17,15,17,2,Regional Flavors
Splish Splash® Sherbet – 4 oz Scoop,4 oz,120,1,28,25,26,3,Regional Flavors
Strawberry Shortcake Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,22,100,18,5,Regional Flavors
Strawberry Shortcake Ice Cream – 4 oz Scoop,4 oz,280,4,34,160,28,8,Regional Flavors
Wild ‘n Reckless Sherbet – 2.5 oz Scoop,2.5 oz,100,1,21,25,20,3,Regional Flavors
Wild ‘n Reckless Sherbet – 4 oz Scoop,4 oz,160,2,33,35,33,4,Regional Flavors
America’s Birthday Cake® Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,21,65,18,5,Seasonal Flavors
America’s Birthday Cake® Ice Cream – 4 oz Scoop,4 oz,280,5,34,100,28,8,Seasonal Flavors
Baseball Nut® Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,19,75,15,5,Seasonal Flavors
Baseball Nut® Ice Cream – 4 oz Scoop,4 oz,270,5,30,120,24,7,Seasonal Flavors
Blueberry Cheesecake Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,20,80,18,5,Seasonal Flavors
Blueberry Cheesecake Ice Cream – 4 oz Scoop,4 oz,260,5,32,125,29,7,Seasonal Flavors
Chocolate Fudge Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,21,90,19,5,Seasonal Flavors
Chocolate Fudge Ice Cream – 4 oz Scoop,4 oz,270,5,34,140,30,8,Seasonal Flavors
Chocolate Mousse Royale® Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,19,65,16,5,Seasonal Flavors
Chocolate Mousse Royale® Ice Cream – 4 oz Scoop,4 oz,290,5,30,100,25,8,Seasonal Flavors
Cotton Candy Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,20,130,18,5,Seasonal Flavors
Cotton Candy Ice Cream – 4 oz Scoop,4 oz,260,4,32,210,29,7,Seasonal Flavors
Egg Nog Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,19,55,17,4,Seasonal Flavors
Egg Nog Ice Cream – 4 oz Scoop,4 oz,250,5,30,90,27,7,Seasonal Flavors
German Chocolate Cake Ice Cream – 2.5 oz Scoop,2.5 oz,190,4,22,90,16,5,Seasonal Flavors
German Chocolate Cake Ice Cream – 4 oz Scoop,4 oz,300,6,34,150,26,9,Seasonal Flavors
Icing on the Cake® Ice Cream – 2.5 oz Scoop,2.5 oz,200,3,23,60,18,6,Seasonal Flavors
Icing on the Cake® Ice Cream – 4 oz Scoop,4 oz,320,4,36,100,28,9,Seasonal Flavors
Love Potion #31® Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,21,50,19,5,Seasonal Flavors
Love Potion #31® Ice Cream – 4 oz Scoop,4 oz,270,4,33,75,30,8,Seasonal Flavors
New York Cheesecake Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,17,75,14,5,Seasonal Flavors
New York Cheesecake Ice Cream – 4 oz Scoop,4 oz,270,5,28,115,22,7,Seasonal Flavors
Peppermint Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,20,55,19,5,Seasonal Flavors
Peppermint Ice Cream – 4 oz Scoop,4 oz,270,4,31,85,30,7,Seasonal Flavors
Pumpkin Pie Ice Cream – 2.5 oz Scoop,2.5 oz,140,3,17,60,15,4,Seasonal Flavors
Pumpkin Pie Ice Cream – 4 oz Scoop,4 oz,220,4,26,95,24,6,Seasonal Flavors
Quarterback Crunch® Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,19,90,16,5,Seasonal Flavors
Quarterback Crunch® Ice Cream – 4 oz Scoop,4 oz,290,4,31,140,25,8,Seasonal Flavors
Red Velvet Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,18,65,17,5,Seasonal Flavors
Red Velvet Ice Cream – 4 oz Scoop,4 oz,250,4,29,105,28,7,Seasonal Flavors
Rock ‘n Pop Swirl Sherbet – 2.5 oz Scoop,2.5 oz,120,1,23,25,23,3,Seasonal Flavors
Rock ‘n Pop Swirl Sherbet – 4 oz Scoop,4 oz,190,1,37,45,36,5,Seasonal Flavors
Strawberry Cheesecake Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,19,85,16,4,Seasonal Flavors
Strawberry Cheesecake Ice Cream – 4 oz Scoop,4 oz,260,5,31,135,25,7,Seasonal Flavors
Tax Crunch® Ice Cream – 2.5 oz Scoop,2.5 oz,200,3,18,75,16,6,Seasonal Flavors
Tax Crunch® Ice Cream – 4 oz Scoop,4 oz,310,5,29,120,26,9,Seasonal Flavors
Tropical Ice – 2.5 oz Scoop 71 grams,2.5 oz,90,0,22,10,21,2,Seasonal Flavors
Tropical Ice – 4 oz Scoop 113 grams,4 oz,140,0,35,15,34,4,Seasonal Flavors
Watermelon Chip – 2.5 oz Scoop,2.5 oz,80,0,18,10,17,2,Seasonal Flavors
Watermelon Chip – 4 oz Scoop,4 oz,120,0,29,15,27,3,Seasonal Flavors
Winter White Chocolate® Ice Cream – 2.5 oz Scoop,2.5 oz,160,2,19,55,14,5,Seasonal Flavors
Winter White Chocolate® Ice Cream – 4 oz Scoop,4 oz,260,4,30,90,22,7,Seasonal Flavors
Blueberry Shortbread Milkshake – Large,32 fl oz,1440,31,170,640,156,40,Seasonal Flavors
Blueberry Shortbread Milkshake – Medium,24 fl oz,890,19,108,390,100,24,Shakes
Blueberry Shortbread Milkshake – Mini,12 fl oz,520,12,57,240,53,14,Shakes
Blueberry Shortbread Milkshake – Small,16 fl oz,640,14,77,280,71,18,Shakes
Bundle of Love Shake – Large,32 fl oz,1620,33,206,650,186,46,Shakes
Bundle of Love Shake – Medium,24 fl oz,990,21,129,400,117,28,Shakes
Bundle of Love Shake – Mini,12 fl oz,580,13,71,250,64,16,Shakes
Bundle of Love Shake – Small,16 fl oz,720,15,93,290,84,20,Shakes
Chocolate Chip Cookie Dough Shake – Large,32 fl oz,1600,30,209,740,181,44,Shakes
Chocolate Chip Cookie Dough Shake – Medium,24 fl oz,980,19,131,450,114,27,Shakes
Chocolate Chip Cookie Dough Shake – Mini,12 fl oz,570,11,72,280,62,16,Shakes
Chocolate Chip Cookie Dough Shake – Small,16 fl oz,710,14,94,330,82,19,Shakes
Chocolate Chip Shake – Large,32 fl oz,1450,32,172,540,160,41,Shakes
Chocolate Chip Shake – Medium,24 fl oz,890,20,110,330,103,25,Shakes
Chocolate Chip Shake – Mini,12 fl oz,520,12,58,200,54,15,Shakes
Chocolate Chip Shake – Small,16 fl oz,650,14,78,240,73,18,Shakes
Chocolate Shake with Chocolate Ice Cream – Large,32 fl oz,1530,35,209,710,159,44,Shakes
Chocolate Shake with Chocolate Ice Cream – Medium,24 fl oz,930,22,129,440,97,26,Shakes
Chocolate Shake with Chocolate Ice Cream – Small,16 fl oz,690,16,96,320,72,20,Shakes
Chocolate Shake with Chocolate ice cream – Mini,12 fl oz,560,13,75,270,58,16,Shakes
Cookie Dough and OREO® Cookies Milkshake – Large,32 fl oz,1650,32,213,800,182,46,Shakes
Cookie Dough and OREO® Cookies Milkshake – Medium,24 fl oz,1010,20,133,490,115,28,Shakes
Cookie Dough and OREO® Cookies Milkshake – Mini,12 fl oz,590,12,73,300,62,17,Shakes
Cookie Dough and OREO® Cookies Milkshake – Small,16 fl oz,730,14,95,350,82,20,Shakes
Gold Medal Ribbon® Shake – Large,32 fl oz,1410,32,180,690,163,39,Shakes
Gold Medal Ribbon® Shake – Medium,24 fl oz,870,20,114,420,104,24,Shakes
Gold Medal Ribbon® Shake – Mini,12 fl oz,500,12,61,260,55,14,Shakes
Gold Medal Ribbon® Shake – Small,16 fl oz,630,14,82,310,74,17,Shakes
Jamoca® Almond Fudge and OREO® Cookie Milkshake – Large,32 fl oz,1510,33,190,630,163,42,Shakes
Jamoca® Almond Fudge and OREO® Cookie Milkshake – Medium,24 fl oz,930,21,120,400,104,26,Shakes
Jamoca® Almond Fudge and OREO® Cookie Milkshake – Mini,12 fl oz,540,13,65,230,55,15,Shakes
Jamoca® Almond Fudge and OREO® Cookie Milkshake – Small,16 fl oz,670,15,86,270,74,19,Shakes
Mint Chip and OREO® Cookies Milkshake – Large,32 fl oz,1480,32,179,650,162,41,Shakes
Mint Chip and OREO® Cookies Milkshake – Medium,24 fl oz,910,20,115,410,104,25,Shakes
Mint Chip and OREO® Cookies Milkshake – Mini,12 fl oz,530,12,61,240,55,15,Shakes
Mint Chip and OREO® Cookies Milkshake – Small,16 fl oz,660,14,81,280,74,18,Shakes
Mint Chocolate Chip Shake – Large,32 fl oz,1460,32,171,540,160,41,Shakes
Mint Chocolate Chip Shake – Medium,24 fl oz,890,20,109,330,102,25,Shakes
Mint Chocolate Chip Shake – Mini,12 fl oz,520,12,58,200,54,15,Shakes
Mint Chocolate Chip Shake – Small,16 fl oz,650,14,78,240,73,18,Shakes
OREO® ‘n Chocolate Shake – Large,32 fl oz,1730,33,217,890,184,49,Shakes
OREO® ‘n Chocolate Shake – Medium,24 fl oz,1050,21,136,540,116,30,Shakes
OREO® ‘n Chocolate Shake – Mini,12 fl oz,620,13,75,340,63,18,Shakes
OREO® ‘n Chocolate Shake – Small,16 fl oz,770,15,98,390,83,22,Shakes
Pumpkin Pie Milkshake – Large,32 fl oz,1320,28,176,540,149,36,Shakes
Pumpkin Pie Milkshake – Medium,24 fl oz,820,18,112,330,96,23,Shakes
Pumpkin Pie Milkshake – Mini,12 fl oz,470,11,60,200,50,13,Shakes
Pumpkin Pie Milkshake – Small,16 fl oz,590,13,80,240,68,16,Shakes
Strawberry Shake with Very Berry Strawberry Ice Cream – Large,32 fl oz,1260,27,171,460,166,34,Shakes
Strawberry Shake with Very Berry Strawberry Ice Cream- Medium,24 fl oz,780,17,109,290,106,21,Shakes
Strawberry Shake with Very Berry Strawberry Ice Cream- Small,16 fl oz,570,12,78,210,75,16,Shakes
Strawberry Shake with Very Berry Strawberry ice cream- Mini,12 fl oz,450,10,58,180,56,12,Shakes
Trick OREO® Treat Milkshake – Large,32 fl oz,1610,31,204,760,163,45,Shakes
Trick OREO® Treat Milkshake – Medium,24 fl oz,980,20,128,460,104,27,Shakes
Trick OREO® Treat Milkshake – Mini,12 fl oz,580,12,70,290,55,16,Shakes
Trick OREO® Treat Milkshake – Small,16 fl oz,720,14,92,340,74,20,Shakes
Trick OREO® Treat Shake – Large,32 fl oz,1630,32,209,780,181,45,Shakes
Trick OREO® Treat Shake – Medium,24 fl oz,990,20,131,470,114,28,Shakes
Trick OREO® Treat Shake – Mini,12 fl oz,590,12,72,290,62,16,Shakes
Trick OREO® Treat Shake – Small,16 fl oz,720,14,94,340,82,20,Shakes
Vanilla Shake – Large,32 fl oz,1440,29,160,460,154,40,Shakes
Vanilla Shake – Medium,24 fl oz,880,19,103,290,99,24,Shakes
Vanilla Shake – Mini,12 fl oz,510,11,54,180,52,14,Shakes
Vanilla Shake – Small,16 fl oz,640,13,73,210,70,18,Shakes
Berry Passionate Banana Smoothie – Large,32 fl oz,880,9,200,115,178,25,Smoothies
Berry Passionate Banana Smoothie – Medium,24 fl oz,620,7,139,90,121,17,Smoothies
Berry Passionate Banana Smoothie – Mini,12 fl oz,300,3,67,40,58,8,Smoothies
Berry Passionate Banana Smoothie – Small,16 fl oz,420,4,96,55,85,12,Smoothies
Mango Banana Smoothie – Large,32 fl oz,880,10,211,150,192,25,Smoothies
Mango Banana Smoothie – Medium,24 fl oz,630,8,150,120,134,18,Smoothies
Mango Banana Smoothie – Mini,12 fl oz,320,4,76,50,68,9,Smoothies
Mango Banana Smoothie – Small,16 fl oz,440,5,105,75,96,12,Smoothies
Peach Passion Banana Smoothie – Large,32 fl oz,750,11,181,140,162,21,Smoothies
Peach Passion Banana Smoothie – Medium,24 fl oz,540,9,132,115,114,16,Smoothies
Peach Passion Banana Smoothie – Mini,12 fl oz,260,4,64,50,56,8,Smoothies
Peach Passion Banana Smoothie – Small,16 fl oz,370,5,91,70,81,11,Smoothies
Strawberry Banana Smoothie – Large,32 fl oz,710,10,172,140,154,20,Smoothies
Strawberry Banana Smoothie – Medium,24 fl oz,520,8,126,115,109,15,Smoothies
Strawberry Banana Smoothie – Mini,12 fl oz,250,4,61,50,53,7,Smoothies
Strawberry Banana Smoothie – Small,16 fl oz,360,5,86,70,77,10,Smoothies
Tropical Banana Smoothie – Large,32 fl oz,790,11,190,150,168,22,Smoothies
Tropical Banana Smoothie – Medium,24 fl oz,550,8,132,120,113,16,Smoothies
Tropical Banana Smoothie – Mini,12 fl oz,270,4,64,50,55,8,Smoothies
Tropical Banana Smoothie – Small,16 fl oz,380,5,91,75,80,11,Smoothies
Waffle Chip Dippers,230 grams,500,11,70,270,55,14,Soft Serve Dippers
OREO® Soft Serve Parfait – Mini,8 oz,390,9,60,230,51,11,Soft Serve Parfaits
OREO® Soft Serve Parfait – Regular,15 oz,740,16,114,460,93,21,Soft Serve Parfaits
Reese’s® Soft Serve Parfait – Mini,8 oz,500,15,45,310,39,14,Soft Serve Parfaits
Reese’s® Soft Serve Parfait – Regular,15 oz,990,29,86,630,73,28,Soft Serve Parfaits
Soft Serve Parfait made with M&M’s® – Mini,8 oz,400,9,61,200,53,11,Soft Serve Parfaits
Soft Serve Parfait made with M&M’s® – Regular,15 oz,820,17,124,370,108,23,Soft Serve Parfaits
Soft Serve Parfait made with Snickers® – Mini,8 oz,390,9,63,290,55,11,Soft Serve Parfaits
Soft Serve Parfait made with Snickers® – Regular,15 oz,780,17,127,570,108,22,Soft Serve Parfaits
Strawberry ‘n Almonds Soft Serve Parfait – Mini,8 oz,300,9,43,140,40,8,Soft Serve Parfaits
Strawberry ‘n Almonds Soft Serve Parfait – Regular,15 oz,600,18,76,240,70,17,Soft Serve Parfaits
