title,year,genres,rank_in_year,imdb_rating,rt_score,rt_audience_score,worldwide_gross,2015_inflation,adjusted,rt_freshness,audience_freshness,length,rating,release_date,studio,poster_url,poster_img
Dances with Wolves,1990,Western|Drama|Adventure,4,8.0,7.5,3.6,424208848.0,80.66%,766363955.48,82.0,87.0,181.0,PG-13,1990-11-21,Orion Pictures,http://resizing.flixster.com/6qRBQY1vGGNIYBeEv1_KFsmGJ4w=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/81/11168108_ori.jpg,<img src=http://resizing.flixster.com/6qRBQY1vGGNIYBeEv1_KFsmGJ4w=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/81/11168108_ori.jpg width=100>
Die Hard 2,1990,Thriller|Action,7,7.1,6.1,3.5,240031094.0,80.66%,433633526.28,69.0,70.0,124.0,R,1990-07-04,20th Century Fox|Silver Pictures,http://resizing.flixster.com/BXuwiQ9ITCvNupBVrtrZ3jQg9WU=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/34/10933489_ori.jpg,<img src=http://resizing.flixster.com/BXuwiQ9ITCvNupBVrtrZ3jQg9WU=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/34/10933489_ori.jpg width=100>
Ghost,1990,Romance|Fantasy|Drama,1,7.0,6.8,3.5,505702588.0,80.66%,913588289.03,74.0,80.0,127.0,PG-13,1990-07-13,Paramount Pictures,http://resizing.flixster.com/pHPpw4inGi6stbtMnLSic6k5fVA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169197_ori.jpg,<img src=http://resizing.flixster.com/pHPpw4inGi6stbtMnLSic6k5fVA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169197_ori.jpg width=100>
Home Alone,1990,Family|Comedy,2,7.4,5.1,3.3,476684675.0,80.66%,861165331.11,54.0,79.0,103.0,PG,1990-11-16,20th Century Fox,http://resizing.flixster.com/kt-Khg5hW-vqYwGDhLKnRAb-0uU=/110x150/dkpu1ddg7pbsk.cloudfront.net/movie/31/21/312104_ori.jpg,<img src=http://resizing.flixster.com/kt-Khg5hW-vqYwGDhLKnRAb-0uU=/110x150/dkpu1ddg7pbsk.cloudfront.net/movie/31/21/312104_ori.jpg width=100>
Kindergarten Cop,1990,Crime|Comedy|Action,10,6.0,5.1,3.0,201957688.0,80.66%,364851165.52,51.0,51.0,111.0,PG-13,1990-12-21,Universal Pictures,http://resizing.flixster.com/cb6nTJ0nYUeS38cP0kMfMF_9DlE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/87/11178764_ori.jpg,<img src=http://resizing.flixster.com/cb6nTJ0nYUeS38cP0kMfMF_9DlE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/87/11178764_ori.jpg width=100>
Presumed Innocent,1990,Mystery|Drama|Crime,8,6.9,7.4,3.4,221303188.0,80.66%,399800210.0,85.0,66.0,127.0,R,1990-07-27,Warner Bros.,http://resizing.flixster.com/3atb8xNBu7Df-gVJpalCXndBg50=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167929_ori.jpg,<img src=http://resizing.flixster.com/3atb8xNBu7Df-gVJpalCXndBg50=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167929_ori.jpg width=100>
Pretty Woman,1990,Romance|Comedy,3,6.9,5.7,3.5,463406268.0,80.66%,837176928.8,62.0,68.0,119.0,R,1990-03-23,Touchstone Pictures,http://resizing.flixster.com/fyT-rUxIJLV7inCl5NqJHgmnoDI=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/16/90/52/1690526_ori.jpg,<img src=http://resizing.flixster.com/fyT-rUxIJLV7inCl5NqJHgmnoDI=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/16/90/52/1690526_ori.jpg width=100>
Teenage Mutant Ninja Turtles,1990,Comedy|Adventure|Action,9,6.7,4.8,3.3,201965915.0,80.66%,364866028.19,41.0,81.0,93.0,PG,1990-03-30,New Line Cinema,http://resizing.flixster.com/jPSS5WGvx8Z2q_U7TNzxSoHqFUQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170087_ori.jpg,<img src=http://resizing.flixster.com/jPSS5WGvx8Z2q_U7TNzxSoHqFUQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170087_ori.jpg width=100>
Total Recall,1990,Action|Sci-Fi|Mystery,5,7.5,7.3,3.3,261336002.0,80.66%,472122382.99,84.0,78.0,113.0,R,1990-06-01,TriStar Pictures|Carolco Pictures,http://resizing.flixster.com/ROHNoOdZcDbCpiitmK2FRxKCvTc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189901_ori.jpg,<img src=http://resizing.flixster.com/ROHNoOdZcDbCpiitmK2FRxKCvTc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189901_ori.jpg width=100>
Back to the Future Part II,1989,Sci-Fi|Comedy|Adventure,3,7.8,6.1,3.5,331950002.0,90.42%,632094375.18,64.0,85.0,108.0,PG,1989-11-22,Universal Pictures,http://resizing.flixster.com/gqemFWJuuNW6pVn4p7JfoGo4VSM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173853_ori.jpg,<img src=http://resizing.flixster.com/gqemFWJuuNW6pVn4p7JfoGo4VSM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173853_ori.jpg width=100>
