Company	Valuation ($B)	Country	Category	Select Investors
Roblox	$1	United States	Gaming	Atlos Ventures, Index Ventures, First Round Capital
Rocket Lab	$1	United States	SpaceTech	Lockheed Martin, Khosla Ventures, Bessemer Venture Partners
Root Insurance	$1	United States	InsurTech	Tiger Global Management, Ribbit Capital, Redpoint Ventures
Rubicon Global	$1	United States	Cleantech	Goldman Sachs, Leonardo DiCaprio, Promecap
Seismic	$1	United States	Sales Tech	Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners
Shansong Express (FlashEx)	$1	China	Supply Chain & Logistics	Prometheus Capital, Matrix Partners China, JD Capital Management
Sila Nanotechnologies	$1	United States	Energy Storage	Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners
SMS Assist	$1	United States	Internet Software & Services	Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital
Soundhound	$1	United States	Music	Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera
Supreme	$1	United States	Clothing & Accessories	The Carlyle Group
Sweetgreen	$1	United States	Food & Beverage	Red Sea Ventures, Fidelity Investments, Revolution
Symphony Communication Services Holdings	$1	United States	Fintech	BNP Paribas, Goldman Sachs, Google
TalkDesk	$1	United States	SalesTech	DJF, Salesforce Ventures, Storm Ventures
TechStyle Fashion Group	$1	United States	eCommerce/Marketplace	Matrix Partners, Passport Capital, Rho Ventures
Tongdun Technology	$1	China	Cybersecurity	Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.
Tresata	$1	United States	BI & Analytics	GCP Capital Partners
TripActions	$1	United States	Travel Tech	Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures
Udaan	$1	India	e-commerce	DST Global, Lightspeed Venture Partners, Microsoft ScaleUp
Unisound	$1	China	Scientific, Engineering Software	Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures
Vlocity	$1	United States	Cloud Computing	Accenture, Salesforce Ventures, Sutter Hill Ventures
Vox Media	$1	United States	Media	Accel Partners, Comcast Ventures, General Atlantic
WalkMe	$1	United States	Sales Tech	Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital
XiaoZhu	$1	China	eCommerce/Marketplace	Morningside Ventures, Capital Today, JOY Capital
Yanolja	$1	South Korea	Travel Tech	SBI Investment Korea, Partners Investment, GIC
YH Global	$1	China	Supplychain/ logistics	Co-Energy Finance, Grandland
Yidian Zixun	$1	China	Digital Media	Phoenix New Media, Tianjin Haihe Industry Fund
Yixia	$1	China	Social	Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
Zhangmen	$1	United States	EdTech	Shunwei Capital Partners, QingSong Fund, Warburg Pincus
Zhaogang	$1	China	eCommerce/Marketplace	K2 Ventures, Matrix Partners China, IDG Capital
Zip Recruiter	$1	United States	HR Tech	Basepoint Ventures,Industry Ventures, and Institutional Venture Partners
