date,EUR,CNY,JPY,GBP,THB
2013-06-03,0.7687576876,6.1316881919,100.2229397294,0.6548277983,30.4597170972
2013-06-04,0.7638252368,6.1287045524,100.2749770852,0.6536816376,30.4101741522
2013-06-05,0.7652865998,6.1277263335,99.5867452361,0.6512971608,30.5196296013
2013-06-06,0.7623113279,6.136072572,99.0699801799,0.6472785486,30.6540631194
2013-06-07,0.754147813,6.1333333333,95.6334841629,0.6420060332,30.5897435897
2013-06-10,0.7570595806,6.1334696041,98.7735634794,0.6438034673,30.7903702021
2013-06-11,0.7534091765,6.1335041061,96.888420101,0.6433360958,30.989979658
2013-06-12,0.7531821948,6.1334638849,96.6332755894,0.6388867967,30.9603072983
2013-06-13,0.7510326699,6.1344348479,94.1494555013,0.6380022531,30.7900863688
2013-06-14,0.7517101406,6.1307975645,94.9936104638,0.6400811847,30.5803202285
2013-06-17,0.7497938067,6.1249156482,94.743945415,0.6354877409,30.6703156632
2013-06-18,0.7477194557,6.1285329744,95.3716165695,0.6401973979,30.8501570211
2013-06-19,0.7459346561,6.1270326719,95.0619125765,0.6383708787,30.7302700283
2013-06-20,0.7575757576,6.1281818182,97.9242424242,0.6473484848,31.1196969697
2013-06-21,0.7587253414,6.1329286798,97.6176024279,0.6474203338,31.1100151745
2013-06-24,0.7641754547,6.1451169188,98.2271129451,0.6504279383,31.1202812166
2013-06-25,0.7613826709,6.1448911223,97.2970915182,0.6461093346,30.9502055733
2013-06-26,0.7678132678,6.1474969287,97.7656633907,0.6512592138,31.1801289926
2013-06-27,0.7673419276,6.1488643339,98.1660527931,0.6546193984,31.1203192142
2013-06-28,0.7645259939,6.1376146789,98.9220183486,0.655351682,31.0496941896
2013-07-01,0.7670476337,6.1326992406,99.7085218992,0.6567845363,30.9749175424
2013-07-02,0.7682261658,6.1329799493,99.9308596451,0.6590612276,30.9702696474
2013-07-03,0.7716644803,6.1307971294,99.4289682846,0.6552974767,31.0903619106
2013-07-04,0.7701786815,6.1257701787,99.8459642637,0.6621996303,31.10982748
2013-07-05,0.7762167197,6.1325778157,100.1086703408,0.6679732981,31.1503531786
2013-07-08,0.7782101167,6.1336964981,101.1984435798,0.6705058366,31.4498054475
2013-07-09,0.7777864198,6.1298125535,101.1666796298,0.6727852532,31.2903476705
2013-07-10,0.780457348,6.1344728011,100.2419417779,0.6713494108,31.2698041052
2013-07-11,0.7666360012,6.131708065,99.379024839,0.6615302055,31.1399877338
2013-07-12,0.7672241829,6.1381770753,99.5473377321,0.6618843026,31.1799907933
2013-07-15,0.7685213649,6.1377958807,100.4303719643,0.6645404242,31.1796802951
2013-07-16,0.7623113279,6.1350053362,99.3672815978,0.6626772374,31.0497026986
2013-07-17,0.7612667479,6.1354293544,99.8401339829,0.6570873934,31.0901339829
2013-07-18,0.7637668983,6.1412968762,100.2214924005,0.6575269228,31.0898953639
2013-07-19,0.7620208794,6.1379257792,100.3352891869,0.6552998552,31.0325382915
2013-07-22,0.7595321282,6.1412729758,99.8556888956,0.6524380981,30.9600486101
2013-07-23,0.7587253414,6.1374051593,100.0834597876,0.6521623672,30.9597875569
2013-07-24,0.754944889,6.1349841462,100.1056922845,0.6512154613,30.9399063868
2013-07-25,0.7574609908,6.1348280564,99.8409331919,0.6542190577,31.1202848053
2013-07-26,0.754147813,6.1315987934,98.6726998492,0.6493589744,31.1402714932
2013-07-29,0.7535795026,6.1324039186,97.8975131876,0.6506405426,31.1703089676
2013-07-30,0.7527853056,6.1315115929,97.854561879,0.6529283348,31.2699488106
2013-07-31,0.7532956685,6.1288888889,97.9284369115,0.6580037665,31.2896421846
2013-08-01,0.7555152614,6.1304019341,98.7382895134,0.6566938652,31.2798428528
2013-08-02,0.7574036204,6.1293645384,99.8106490949,0.6599636446,31.3898356434
2013-08-05,0.7543184733,6.1246888436,98.5290789771,0.6519197405,31.3200573282
2013-08-06,0.7530120482,6.1216114458,98.0948795181,0.6519201807,31.3998493976
2013-08-07,0.7515971439,6.119203307,97.1138669673,0.6460353251,31.4400601278
2013-08-08,0.748502994,6.1205838323,96.3173652695,0.6452095808,31.25
2013-08-09,0.7477753683,6.1220369401,96.4331114933,0.6440963135,31.2697225753
2013-08-12,0.7530120482,6.122063253,96.8825301205,0.6465361446,31.2402108434
2013-08-13,0.7524454477,6.120993228,98.0210684725,0.6467644846,31.2498118886
2013-08-14,0.7551159103,6.1195348486,98.2934380427,0.6451710338,31.3403307408
2013-08-15,0.7520493344,6.113033015,98.1273971573,0.6417236971,31.2799879672
2013-08-16,0.7496251874,6.1149925037,97.4737631184,0.6396176912,31.2803598201
2013-08-19,0.7494004796,6.1229016787,97.9616306954,0.6391636691,31.379646283
2013-08-20,0.7467144564,6.1246266428,97.3192951016,0.6383661888,31.6599462366
2013-08-21,0.747160789,6.1234309623,97.5194261805,0.637290795,31.8297967723
2013-08-22,0.7505817008,6.1209937702,98.6639645725,0.6417848833,32.0400810628
2013-08-23,0.7487832273,6.1219767877,99.1014601273,0.6432796705,32.009734182
2013-08-26,0.7484469725,6.1225207694,98.6004041614,0.6425417259,31.9399745528
2013-08-27,0.7497375918,6.1216824112,97.518368571,0.6454490928,32.1899835058
2013-08-28,0.7492320372,6.1201768188,97.4750880348,0.6467370945,32.3001423541
2013-08-29,0.753806724,6.1219659279,98.2511684004,0.6444293683,32.1800090457
2013-08-30,0.7555723461,6.1185493011,98.2319607102,0.6452210049,32.1548923309
2013-09-02,0.7571742258,6.1196335277,99.2579692587,0.6418944499,32.0352843189
2013-09-03,0.7591861524,6.1206346796,99.4382022472,0.643258427,32.1439416945
2013-09-04,0.7592437932,6.1201123681,99.5064915344,0.6406499127,32.2048439754
2013-09-05,0.7574609908,6.1186183912,99.7121648235,0.6386153613,32.3397970005
2013-09-06,0.7623694442,6.1194632919,99.6493100557,0.641915072,32.3549592132
2013-09-09,0.7579202668,6.1209640746,99.5149310293,0.6376383204,32.1949370926
2013-09-10,0.7552870091,6.1200151057,100.3021148036,0.6373111782,32.164652568
2013-09-11,0.7536930962,6.1190081399,100.2110340669,0.6341573711,31.9897497739
2013-09-12,0.7524454477,6.1179834462,99.4582392777,0.6328066215,31.7351392024
2013-09-13,0.7521624671,6.1187664536,99.6088755171,0.6317412561,31.863106431
2013-09-16,0.7486711088,6.1202365801,98.8620199147,0.6277607247,31.700232088
2013-09-17,0.7487271638,6.1215184187,99.1614255765,0.6287061995,31.7303084756
