Position,"Track Name",Artist,Streams,URL
164,寄り酔い,和ぬか,6699,https://open.spotify.com/track/154Jycdld9dX9rBLE6L3v4
165,"Blinding Lights","The Weeknd",6670,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
166,"Lovesick Girls",BLACKPINK,6667,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
167,"Ice Cream (with Selena Gomez)",BLACKPINK,6651,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
168,"คนเก่าเขาทำไว้ดี (Can’t win)","Chilling Sunday",6646,https://open.spotify.com/track/1qkIG72UU08DBiLyCL3vLH
169,รู้ได้แล้วมั้ย,"Zom Marie",6610,https://open.spotify.com/track/2fAYsOKKzU1pm197MekRoC
170,"Our Song",Anne-Marie,6598,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
171,"Day 1 ◑",HONNE,6577,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
172,"Pretty Savage",BLACKPINK,6571,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
173,"Paris in the Rain",Lauv,6560,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
174,คนโปรด,Pearpilincys,6543,https://open.spotify.com/track/20jt4uUdAiHqdBVXceQP8M
175,"u love u (with Tate McRae)",blackbear,6522,https://open.spotify.com/track/1xBQDoxqFyloelbnfju8na
176,อีกแล้ว,MEYOU,6492,https://open.spotify.com/track/2e4LjNTBGG20Bn71dpVy40
177,Save,"NCT 127",6477,https://open.spotify.com/track/0nW8KgIzm3Q6DCLHUtEHDh
178,"แอบดี (How to live without you)",Stamp,6454,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ
179,แก้มน้องนางนั้นแดงกว่าใคร,เขียนไขและวานิช,6423,https://open.spotify.com/track/15zvOBuL1QbkL7bvudg2p5
180,คิดไม่คิด,"Earth Patravee",6397,https://open.spotify.com/track/2K7gwruclvSWntbV21vP6a
181,"Mood (feat. iann dior)",24kGoldn,6384,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
182,"Black Mamba",aespa,6317,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
183,ดีใจด้วยนะ(Glad),"Ink Waruntorn",6293,https://open.spotify.com/track/0rvNW2zfoFqdz7jHw3VqSQ
184,"Best Friend (feat. Doja Cat)",Saweetie,6292,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
185,แอบหวัง,"Anatomy Rabbit",6267,https://open.spotify.com/track/0LLETxISOeZVam4l0RwcpV
186,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6244,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
187,Some,BOL4,6234,https://open.spotify.com/track/3jsYQw78lrxJA2ysnmOIf9
188,"SUN GOES DOWN","Lil Nas X",6230,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
189,"ร W8","Gene Kasidit",6212,https://open.spotify.com/track/3zc9UfgETcTMGiazW58Klg
190,"จีบอยู่เผื่อไม่รู้ - How Cute!",WWJ,6190,https://open.spotify.com/track/0QEQhT1kUxAmoCtug66anM
191,Señorita,"Shawn Mendes",6170,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
192,อย่าบอกใครนะ,SOYBAD,6167,https://open.spotify.com/track/0xG48CBxqMQoYscjjXwD6v
193,"Say Yes",Loco,6166,https://open.spotify.com/track/27zrFrtUtWl2urlvjOn5xc
194,ยังไปไม่ไหว,"Earth Patravee",6137,https://open.spotify.com/track/1Efq7J3I1fJ4A6RMQQ5S95
195,"boyfriend (with Social House)","Ariana Grande",6128,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
196,Her,YENTED,6110,https://open.spotify.com/track/6QyioeIgZ5RfdxgQapePL7
197,แค่ฝันไป,"Whal & Dolph",6109,https://open.spotify.com/track/1JU4ZiABEUdYEONLwmbLQd
198,ไม่อยากเป็นเพื่อนกับแฟนเก่า,"Bean Napason",6083,https://open.spotify.com/track/5lbRvKhdnxuB1NVZp1yH4s
199,"MOVE ON","Pramote Vilepana",6083,https://open.spotify.com/track/0Q3RF9qFwUDYjcmrzSgm8R
200,"Klai (Closer)",SCRUBB,6077,https://open.spotify.com/track/4r3UvwePMdXPJrqFautgTq
