amphurEN,amphurTH,changwat,lat,long,pop,area,zip
Khlong Sam Wa,คลองสามวา,Krung Thep Maha Nakhon,13.859720000000001,100.70416999999999,124476.0,1125.0,10510.0
Khlong San,คลองสาน,Krung Thep Maha Nakhon,13.730279999999999,100.50972,108426.0,17918.0,10600.0
Khlong Thom,คลองท่อม,Krabi,7.95333,99.145,70337.0,67.5,81120.0
Khlong Toei,คลองเตย,Krung Thep Maha Nakhon,13.708060000000001,100.58389,159527.0,12271.3,10110.0
Khlong Yai,คลองใหญ่,Trat,11.77667,102.88667,23981.0,477.7,23110.0
Khlung,ขลุง,Chanthaburi,12.45472,102.22139,55044.0,72.8,22110.0
Khok Charoen,โคกเจริญ,Lopburi,15.382779999999999,100.8225,24321.0,76.7,15250.0
Khok Pho,โคกโพธิ์,Pattani,6.729439999999999,101.09611,64329.0,189.5,94120.0
Khok Pho Chai,โคกโพธิ์ไชย,Khon Kaen,16.08361,102.39889000000001,25483.0,106.7,40160.0
Khok Samrong,โคกสำโรง,Lopburi,15.069720000000002,100.72389,86381.0,87.9,15120.0
Khok Si Suphan,โคกศรีสุพรรณ,Sakon Nakhon,17.04361,104.27333,33717.0,159.0,47280.0
Khok Sung,โคกสูง,Sa Kaeo,13.833329999999998,102.615,25686.0,58.4,27120.0
Khon Buri,ครบุรี,Nakhon Ratchasima,14.52333,102.24833000000001,93808.0,52.2,30250.0
Khong,คง,Krung Thep Maha Nakhon,15.441389000000001,102.328611,81484.0,179.2,30260.0
Khong Chai,ฆ้องชัย,Kalasin,16.261670000000002,103.45833,27098.0,211.2,46130.0
Khong Chiam,โขงเจียม,Ubon Ratchathani,15.31889,105.49556000000001,32693.0,32.7,34220.0
Mueang Khon Kaen,เมืองขอนแก่น,Khon Kaen,16.43833,102.83889,382156.0,391.5,40000.0
Khon San,คอนสาร,Chaiyaphum,16.613329999999998,101.91972,58867.0,60.9,36180.0
Khon Sawan,คอนสวรรค์,Chaiyaphum,15.93167,102.28111,54313.0,116.0,36140.0
Kho Wang,ค้อวัง,Yasothon,15.367779999999998,104.35778,26424.0,176.16,35160.0
Khuan Don,ควนโดน,Satun,6.78833,100.07667,22552.0,113.3,91160.0
Khuan Kalong,ควนกาหลง,Satun,6.84667,100.07167,29538.0,71.5,91130.0
Khuan Khanun,ควนขนุน,Phatthalung,7.735,100.01,82425.0,181.6,93110.0
Khuan Niang,ควนเนียง,Songkhla,7.186939999999999,100.35778,33264.0,159.9,90220.0
Khueang Nai,เขื่องใน,Ubon Ratchathani,15.389439999999999,104.55139,109453.0,141.6,34150.0
Khukhan,ขุขันธ์,Sisaket,14.71333,104.19833,148066.0,161.94299999999998,33140.0
Khu Mueang,คูเมือง,Buriram,15.27167,103.00166999999999,66839.0,151.2,31190.0
Khun Han,ขุนหาญ,Sisaket,14.617220000000001,104.42444,104015.0,143.8,33150.0
Khun Tan,ขุนตาล,Chiang Rai,19.83333,100.25833,33494.0,143.1,57340.0
Khun Yuam,ขุนยวม,Mae Hong Son,18.83944,97.95139,21479.0,12.6,58140.0
Khura Buri,คุระบุรี,Phang Nga,9.19389,98.415,23308.0,29.2,82150.0
Khwao Sinarin,เขวาสินรินทร์,Surin,15.002220000000001,103.59639,35394.0,186.6,32000.0
Klaeng,แกลง,Rayong,12.77833,101.65333000000001,126289.0,159.4,21110.0
Ko Chan,เกาะจันทร์,Chonburi,13.4175,101.33444,34671.0,139.4,20240.0
Ko Chang,เกาะช้าง,Trat,12.10361,102.35194,5356.0,34.6,23170.0
Ko Kha,เกาะคา,Lampang,18.191670000000002,99.39556,63870.0,115.9,52130.0
Ko Kut,เกาะกูด,Trat,11.65833,102.54222,2118.0,13.1,23000.0
Ko Lanta,เกาะลันตา,Krabi,7.65556,99.04194,30500.0,81.4,81150.0
Kong Krailat,กงไกรลาศ,Sukhothai,16.9525,99.97610999999999,64521.0,128.4,64170.0
Kong Ra,กงหรา,Phatthalung,7.40333,99.95,33413.0,130.6,93180.0
Ko Pha-ngan,เกาะพะงัน,Ubon Ratchathani,9.71667,100.0,13700.0,109.6,84280.0
Kosamphi Nakhon,โกสัมพีนคร,Kamphaeng Phet,16.63167,99.34833,28347.0,59.5,62170.0
Ko Samui,เกาะสมุย,Surat Thani,9.5,100.0,62500.0,270.0,84140.0
Ko Sichang,เกาะสีชัง,Chonburi,13.163329999999998,100.80833,5038.0,291.0,20120.0
Kosum Phisai,โกสุมพิสัย,Maha Sarakham,16.24861,103.06694,119138.0,143.9,44140.0
Ko Yao,เกาะยาว,Phang Nga,8.11167,98.59083000000001,13155.0,90.3,82160.0
Krabi,กระบี่,Krabi,8.061667,98.918611,79622.0,133.7,81000.0
Kra Buri,กระบุรี,Ranong,10.43167,98.78833,44808.0,57.2,85110.0
Kranuan,กระนวน,Khon Kaen,16.70611,103.07889,77531.0,240.8,40170.0
Krasae Sin,กระแสสินธุ์,Songkhla,7.61833,100.32833000000001,16055.0,166.5,90270.0
Krasang,กระสัง,Buriram,14.92167,103.30167,103043.0,157.9,31160.0
Krathum Baen,กระทุ่มแบน,Samut Sakhon,13.655829999999998,100.26778,138309.0,1022.0,74110.0
Krok Phra,โกรกพระ,Nakhon Sawan,15.55667,100.07333,36463.0,122.7,60170.0
Krong Pinang,กรงปินัง,Yala,6.41111,101.27333,22411.0,117.3,95000.0
Kuchinarai,กุฉินารายณ์,Kalasin,16.53833,104.055,101184.0,136.3,46110.0
Kui Buri,กุยบุรี,Prachuap Khiri Khan,12.08278,99.85417,41246.0,44.09,77150.0
Ku Kaeo,กู่แก้ว,Udon Thani,17.172220000000003,103.15306,21962.0,121.2,41130.0
Kumphawapi,กุมภวาปี,Udon Thani,17.113889999999998,103.01861,125193.0,187.6,41110.0
Kusuman,กุสุมาลย์,Sakon Nakhon,17.331670000000003,104.33333,45014.0,99.1,47210.0
Kut Bak,กุดบาก,Sakon Nakhon,17.087220000000002,103.8225,31833.0,70.0,47180.0
Kut Chap,กุดจับ,Udon Thani,17.42556,102.56667,62301.0,79.4,41250.0
Kut Chum,กุดชุม,Yasothon,16.03333,104.33806,65959.0,121.25,35140.0
Kut Khaopun,กุดข้าวปุ้น,Ubon Ratchathani,15.791670000000002,104.99667,39824.0,124.5,34270.0
Kut Rang,กุดรัง,Maha Sarakham,16.05167,102.99333,36144.0,135.4,44130.0
Laem Ngop,แหลมงอบ,Trat,12.171669999999999,102.39333,17874.0,116.1,23120.0
Laem Sing,แหลมสิงห์,Chanthaburi,12.48167,102.07361,30790.0,161.4,22130.0
Lahan Sai,ละหานทราย,Buriram,14.41167,102.86,70825.0,96.4,31170.0
Lak Si,หลักสี่,Krung Thep Maha Nakhon,13.8875,100.57889,117163.0,5130.0,10210.0
Lamae,ละแม,Chumphon,9.76833,99.09167,27278.0,105.3,86170.0
Lamduan,ลำดวน,Surin,14.72722,103.67583,30059.0,99.9,32220.0
Lam Luk Ka,ลำลูกกา,Pathum Thani,13.9325,100.74944,184316.0,619.0,12150.0
Mueang Lampang,เมืองลำปาง,Lampang,18.29194,99.50444,235092.0,205.2,52000.0
Mueang Lamphun,เมืองลำพูน,Lamphun,18.57806,99.01778,140486.0,292.8,51000.0
Lam Plai Mat,ลำปลายมาศ,Buriram,15.025279999999999,102.83861,132277.0,164.7,31130.0
Lam Sonthi,ลำสนธิ,Lopburi,15.301670000000001,101.36333,34480.0,77.1,15190.0
Lam Thamenchai,ลำทะเมนชัย,Nakhon Ratchasima,15.35333,102.91833000000001,32211.0,104.4,30270.0
Lam Thap,ลำทับ,Krabi,8.07167,99.29167,20069.0,62.6,81120.0
Lang Suan,หลังสวน,Chumphon,9.94556,99.07861,70837.0,75.8,86110.0
La-ngu,ละงู,Satun,6.86389,99.8025,63933.0,168.1,91110.0
Lan Krabue,ลานกระบือ,Kamphaeng Phet,16.60056,99.84917,41297.0,115.0,62170.0
Lan Sak,ลานสัก,Uthai Thani,15.452779999999999,99.57611,57548.0,53.3,61160.0
Lan Saka,ลานสกา,Nakhon Si Thammarat,8.37167,99.805,40406.0,117.83,80230.0
Lao Khwan,เลาขวัญ,Kanchanaburi,14.59639,99.77472,54967.0,66.1,71210.0
Lao Suea Kok,เหล่าเสือโก้ก,Ubon Ratchathani,15.406670000000002,104.92333,25767.0,90.7,34000.0
Laplae,ลับแล,Uttaradit,17.65139,100.03917,57559.0,128.3,53130.0
Lat Bua Luang,ลาดบัวหลวง,Ayutthaya,14.16583,100.3075,36186.0,181.0,13230.0
Lat Krabang,ลาดกระบัง,Krung Thep Maha Nakhon,13.723329999999999,100.78416999999999,141789.0,1144.38,10520.0
Lat Lum Kaeo,ลาดหลุมแก้ว,Pathum Thani,14.037220000000001,100.40472,52995.0,261.0,12140.0
Lat Phrao,ลาดพร้าว,Krung Thep Maha Nakhon,13.80361,100.6075,119838.0,5574.0,10310.0
Lat Yao,ลาดยาว,Nakhon Sawan,15.754170000000002,99.79056,91704.0,132.7,60150.0
La-un,ละอุ่น,Ranong,10.115,98.75,12506.0,16.7,85130.0
Li,ลี้,Lamphun,17.80333,98.95,67240.0,39.5,51110.0
Mueang Loei,เมืองเลย,Loei,17.485,101.73,117039.0,79.1,42000.0
Loeng Nok Tha,เลิงนกทา,Yasothon,16.20778,104.55471999999999,93750.0,99.4,35120.0
Lom Kao,หล่มเก่า,Phetchabun,16.88556,101.22944,60228.0,65.0,67120.0
Lom Sak,หล่มสัก,Phetchabun,16.77944,101.24221999999999,150680.0,98.1,67110.0
Long,ลอง,Phrae,18.075556,99.8325,57940.0,40.0,54150.0
Mueang Lop Buri,เมืองลพบุรี,Lopburi,14.798060000000001,100.65361,247842.0,438.2,15000.0
Lue Amnat,ลืออำนาจ,Amnat Charoen,15.701670000000002,104.645,36878.0,192.3,37000.0
Mae Ai,แม่อาย,Chiang Mai,20.03139,99.28694,77295.0,104.9,50280.0
Mae Chaem,แม่แจ่ม,Chiang Mai,18.49889,98.36194,57214.0,21.1,50270.0
Mae Chai,แม่ใจ,Phayao,19.345,99.815,36089.0,120.0,56130.0
Mae Chan,แม่จัน,Chiang Rai,20.14667,99.85333,102586.0,129.7,57110.0
Mae Charim,แม่จริม,Nan,18.703329999999998,101.005,15553.0,16.0,55170.0
Mae Fa Luang,แม่ฟ้าหลวง,Chiang Rai,20.267220000000002,99.80139,76613.0,119.4,57110.0
Mueang Mae Hong Son,เมืองแม่ฮ่องสอน,Mae Hong Son,19.30389,97.97721999999999,53333.0,22.2,58000.0
Mae Lan,แม่ลาน,Pattani,6.660830000000001,101.23971999999999,14863.0,166.6,94180.0
Mae La Noi,แม่ลาน้อย,Mae Hong Son,18.384439999999998,97.93694,34126.0,23.4,58120.0
Mae Lao,แม่ลาว,Chiang Rai,19.79,99.69972,30779.0,75.8,57250.0
Mae Mo,แม่เมาะ,Lampang,18.275,99.65,38768.0,40.4,52220.0
Mae On,แม่ออน,Chiang Mai,18.77639,99.24806,21652.0,49.0,50130.0
Mae Phrik,แม่พริก,Lampang,17.44833,99.115,17149.0,31.8,52180.0
Mae Poen,แม่เปิน,Nakhon Sawan,15.657779999999999,99.46916999999999,19730.0,75.8,60150.0
Mae Ramat,แม่ระมาด,Tak,16.983060000000002,98.51694,44798.0,30.4,63140.0
Mae Rim,แม่ริม,Chiang Mai,18.91389,98.945,82943.0,187.0,50180.0
Mae Sai,แม่สาย,Chiang Rai,20.428060000000002,99.88361,86298.0,302.8,57130.0
Mae Sariang,แม่สะเรียง,Mae Hong Son,18.15944,97.93361,50937.0,20.1,58110.0
Mae Sot,แม่สอด,Tak,16.713060000000002,98.57472,120569.0,60.71,63110.0
Mae Suai,แม่สรวย,Chiang Rai,19.65639,99.5425,82989.0,56.3,57180.0
Mae Taeng,แม่แตง,Chiang Mai,19.12194,98.94360999999999,82094.0,60.2,50150.0
Mae Tha,แม่ทา,Lampang,18.135,99.51333299999999,63032.0,77.8,52150.0
Mae Tha,แม่ทา,Lamphun,18.461944,99.134722,40361.0,52.9,51140.0
Mae Wang,แม่วาง,Chiang Mai,18.6125,98.775,30871.0,51.3,57110.0
Mae Wong,แม่วงก์,Nakhon Sawan,15.78111,99.51916999999999,52705.0,68.7,60150.0
Maha Chana Chai,มหาชนะชัย,Yasothon,15.5325,104.2425,58670.0,128.9,35130.0
Maha Rat,มหาราช,Ayutthaya,14.534170000000001,100.52694,23525.0,193.9,13150.0
Mueang Maha Sarakham,เมืองมหาสารคาม,Maha Sarakham,16.18417,103.30111,142325.0,255.7,44000.0
Mai Kaen,ไม้แก่น,Pattani,6.61,101.66722,11269.0,204.1,94220.0
Makham,มะขาม,Chanthaburi,12.67361,102.19667,29479.0,61.4,22150.0
Manang,มะนัง,Satun,28.551940000000002,84.24083,9587.0,4.3,91130.0
Mancha Khiri,มัญจาคีรี,Khon Kaen,16.12667,102.54222,72244.0,98.2,40160.0
Manorom,มโนรมย์,Chainat,15.309439999999999,100.08389,33041.0,147.9,17110.0
Mayo,มายอ,Pattani,6.718610000000001,101.41,53070.0,245.6,94140.0
Min Buri,มีนบุรี,Krung Thep Maha Nakhon,13.813889999999999,100.74806,115212.0,1810.0,10510.0
Moei Wadi,เมยวดี,Roi Et,16.38917,104.1575,22463.0,124.4,45250.0
Muak Lek,มวกเหล็ก,Saraburi,14.655560000000001,101.19833,49572.0,72.8,18180.0
Muang Sam Sip,ม่วงสามสิบ,Ubon Ratchathani,15.510829999999999,104.72639000000001,82757.0,90.2,34140.0
Mueang Chan,เมืองจันทร์,Sisaket,15.191670000000002,104.05333,17861.0,186.4,33120.0
Mueang Pan,เมืองปาน,Lampang,18.77056,99.49833000000001,34494.0,39.9,52240.0
Mueang Phang Nga,พังงา,Phang Nga,8.44333,98.51805999999999,38426.0,69.9,82000.0
Mueang Suang,เมืองสรวง,Roi Et,15.82361,103.71778,23751.0,113.4,45220.0
Mueang Yang,เมืองยาง,Nakhon Ratchasima,15.423329999999998,102.90167,28501.0,111.5,30270.0
Mueang Mukdahan,เมืองมุกดาหาร,Mukdahan,16.53806,104.71472,129351.0,103.6,49000.0
Na Bon,นาบอน,Nakhon Si Thammarat,8.26167,99.595,26428.0,137.0,80220.0
Na Chaluai,นาจะหลวย,Ubon Ratchathani,14.52139,105.24611000000002,53774.0,85.1,34280.0
Na Chueak,นาเชือก,Maha Sarakham,15.8,103.03166999999999,60856.0,115.2,44170.0
Na Di,นาดี,Prachinburi,14.11,101.785,48239.0,41.3,25220.0
Na Duang,นาด้วง,Loei,17.47917,101.97055999999999,25232.0,42.8,42210.0
Na Dun,นาดูน,Maha Sarakham,15.71389,103.22694,36485.0,146.9,44180.0
Na Haeo,นาแห้ว,Loei,17.485,101.07,11011.0,17.5,42170.0
Na Kae,นาแก,Nakhon Phanom,16.94667,104.50083000000001,75365.0,141.6,48130.0
Nakhon Chai Si,นครชัยศรี,Nakhon Pathom,13.801110000000001,100.18778,106840.0,354.9,73120.0
Nakhon Luang,นครหลวง,Ayutthaya,14.464170000000001,100.60556,35713.0,166.9,13260.0
Mueang Nakhon Nayok,เมืองนครนายก,Nakhon Nayok,14.203610000000001,101.21722,98725.0,135.6,26000.0
Mueang Nakhon Pathom,เมืองนครปฐม,Nakhon Pathom,13.819720000000002,100.06583,271391.0,650.2,73000.0
Mueang Nakhon Phanom,เมืองนครพนม,Nakhon Phanom,17.36722,104.76056,141997.0,122.7,48000.0
Mueang Nakhon Ratchasima,อำเภอเมืองนครราชสีมา,Nakhon Ratchasima,14.971110000000001,102.09971999999999,454647.0,601.0,
Mueang Nakhon Sawan,เมืองนครสวรรค์,Nakhon Sawan,15.705,100.1375,238760.0,319.1,60000.0
Mueang Nakhon Si Thammarat,นครศรีธรรมราช,Nakhon Si Thammarat,8.42,99.96333,266613.0,431.83,80000.0
Nakhon Thai,นครไทย,Phitsanulok,17.10083,100.83778000000001,85842.0,38.7,65120.0
Na Khu,นาคู,Kalasin,16.78,104.03166999999999,31510.0,211.2,46160.0
Na Klang,นากลาง,Nongbua Lamphu,17.30722,102.18861,90996.0,159.4,39170.0
Nam Khun,น้ำขุ่น,Ubon Ratchathani,14.583329999999998,104.925,30587.0,81.0,34260.0
Nam Kliang,น้ำเกลี้ยง,Sisaket,14.927220000000002,104.51306,43339.0,168.1,33130.0
Nam Nao,น้ำหนาว,Phetchabun,16.76833,101.67166999999999,15485.0,25.0,67260.0
Na Mom,นาหม่อม,Songkhla,6.95833,100.55694,20950.0,226.6,90310.0
Na Mon,นามน,Kalasin,16.57528,103.78667,35234.0,132.6,46230.0
Nam Pat,น้ำปาด,Uttaradit,17.72833,100.68444000000001,30037.0,22.8,53150.0
Nam Phong,น้ำพอง,Khon Kaen,16.70194,102.85667,112414.0,136.8,40140.0
Nam Som,น้ำโสม,Udon Thani,17.77056,102.18972,55622.0,74.9,41210.0
Na Muen,นาหมื่น,Nan,18.18944,100.65889,14817.0,19.0,55180.0
Nam Yuen,น้ำยืน,Ubon Ratchathani,14.489170000000001,105.00083000000001,67641.0,79.2,34160.0
Mueang Nan,เมืองน่าน,Nan,18.79361,100.72944,81481.0,100.0,55000.0
Nang Rong,นางรอง,Buriram,14.628329999999998,102.79333000000001,108143.0,151.6,31110.0
Na Noi,นาน้อย,Nan,18.325,100.715,32560.0,23.0,55150.0
Na Pho,นาโพธิ์,Buriram,15.645,102.95167,33135.0,129.9,31230.0
Mueang Narathiwat,เมืองนราธิวาส,Narathiwat,6.4261099999999995,101.82306,108644.0,356.1,96000.0
Na Tan,นาตาล,Ubon Ratchathani,15.905,105.27667,34735.0,181.0,34170.0
Na Thawi,นาทวี,Songkhla,6.74167,100.69167,58675.0,78.5,90160.0
Na Thom,นาทม,Nakhon Phanom,17.78528,104.09056,21930.0,55.1,48140.0
Na Wa,นาหว้า,Nakhon Phanom,17.48944,104.10139000000001,44661.0,85.4,48180.0
Na Wang,นาวัง,Nongbua Lamphu,17.322779999999998,102.0725,37316.0,114.3,42170.0
Na Yai Am,นายายอาม,Chanthaburi,12.77,101.855,32108.0,107.0,22160.0
Na Yia,นาเยีย,Ubon Ratchathani,15.059439999999999,105.06028,24970.0,110.0,34160.0
Na Yong,นาโยง,Trang,7.5616699999999994,99.695,42294.0,256.2,92170.0
Na Yung,นายูง,Udon Thani,17.89667,102.15,25701.0,49.0,41380.0
Ngao,งาว,Lampang,18.776670000000003,99.97,58813.0,32.4,52110.0
Nikhom Kham Soi,นิคมคำสร้อย,Mukdahan,16.371667000000002,104.550556,42225.0,111.9,49130.0
Nikhom Nam Un,นิคมน้ำอูน,Sakon Nakhon,17.18306,103.71861,13696.0,84.5,47270.0
Nikhom Phatthana,นิคมพัฒนา,Rayong,12.831389999999999,101.20806,32482.0,136.8,21180.0
Noen Kham,เนินขาม,Chainat,14.96222,99.91167,17371.0,64.6,17130.0
Noen Maprang,เนินมะปราง,Phitsanulok,16.56833,100.63556,58689.0,57.0,65190.0
Noen Sa-nga,เนินสง่า,Chaiyaphum,15.56417,102.00166999999999,24125.0,108.7,36130.0
Non Daeng,โนนแดง,Nakhon Ratchasima,15.410829999999999,102.54028000000001,25468.0,136.5,30360.0
Non Din Daeng,โนนดินแดง,Buriram,14.315829999999998,102.74361,26073.0,58.2,31260.0
Nong Bua,หนองบัว,Nakhon Sawan,15.865,100.58610999999999,70609.0,86.2,60110.0
Nong Bua Daeng,หนองบัวแดง,Chaiyaphum,16.081670000000003,101.80333,92766.0,41.9,36210.0
Nong Bua Lam Phu,หนองบัวลำภู,Nongbua Lamphu,17.204167,102.44444399999999,130092.0,143.3,39000.0
Nong Bua Rawe,หนองบัวระเหว,Chaiyaphum,15.748610000000001,101.75944,36371.0,43.2,36250.0
Nong Bun Mak,หนองบุญมาก,Nakhon Ratchasima,14.739720000000002,102.36583,56287.0,100.0,30410.0
Nong Chang,หนองฉาง,Uthai Thani,15.39139,99.84139,44366.0,131.4,61110.0
Nong Chik,หนองจิก,Pattani,6.84444,101.17860999999999,69510.0,296.6,94170.0
Nong Chok,หนองจอก,Krung Thep Maha Nakhon,13.85556,100.8625,117385.0,497.0,10530.0
Nong Don,หนองโดน,Saraburi,14.68111,100.70833,13876.0,157.5,18190.0
Nong Han,หนองหาน,Udon Thani,17.36056,103.10556,114982.0,162.4,41130.0
Nong Hi,หนองฮี,Roi Et,15.61028,103.99056,25696.0,5.14,45140.0
Nong Hin,หนองหิน,Loei,17.12333,101.85833000000001,23255.0,53.5,42190.0
Nong Hong,หนองหงส์,Buriram,14.85,102.68833000000001,48442.0,144.6,31240.0
Nong Khae,หนองแค,Saraburi,14.339170000000001,100.86166999999999,88213.0,335.5,18140.0
Nong Khaem,หนองแขม,Krung Thep Maha Nakhon,13.704720000000002,100.34889,125545.0,3504.0,10160.0
Mueang Nong Khai,เมืองหนองคาย,Nong Khai,17.88,102.74167,145153.0,235.1,43000.0
Nong Khayang,หนองขาหย่าง,Uthai Thani,15.364170000000001,99.92917,16369.0,47.1,61130.0
Nong Ki,หนองกี่,Buriram,14.68806,102.53389,67658.0,175.7,31210.0
Nong Kung Si,หนองกุงศรี,Kalasin,16.655829999999998,103.29389,65521.0,104.5,46220.0
Nong Mamong,หนองมะโมง,Chainat,15.276670000000001,99.86667,19330.0,67.1,17100.0
Nong Muang,หนองม่วง,Lopburi,15.24722,100.65417,35257.0,79.1,15170.0
Nong Muang Khai,หนองม่วงไข่,Phrae,18.26472,100.19,19302.0,87.33,54170.0
Nong Na Kham,หนองนาคำ,Khon Kaen,16.800829999999998,102.34111,23402.0,147.3,40150.0
Nong Phai,หนองไผ,Phetchabun,15.990279999999998,101.0625,115832.0,85.2,67140.0
Nong Phok,หนองพอก,Roi Et,16.309720000000002,104.20306,64646.0,107.8,45210.0
Nong Prue,หนองปรือ,Kanchanaburi,14.61139,99.45028,29703.0,59.1,71220.0
Nong Ruea,หนองเรือ,Khon Kaen,16.49333,102.43333,91956.0,136.5,40210.0
Nong Saeng,หนองแสง,Udon Thani,17.1675,102.780556,25802.0,39.1,41340.0
Nong Saeng,หนองแสง,Saraburi,14.492222,100.784444,14781.0,169.7,18170.0
Nong Song Hong,หนองสองห้อง,Khon Kaen,15.73361,102.79556,78610.0,152.8,40190.0
Nong Suea,หนองเสือ,Pathum Thani,14.135,100.82417,46565.0,112.6,12170.0
Nong Sung,หนองสูง,Mukdahan,16.48667,104.34444,20874.0,50.9,49160.0
Nong Wua So,หนองวัวซอ,Udon Thani,17.1625,102.57278000000001,61658.0,87.7,41220.0
Nong Yai,หนองใหญ่,Chonburi,13.156670000000002,101.36667,21984.0,55.3,20190.0
Nong Ya Plong,หนองหญ้าปล้อง,Phetchaburi,13.16306,99.69722,14390.0,11.5,76160.0
Nong Ya Sai,หนองหญ้าไซ,Suphanburi,14.775,99.91111,49894.0,118.7,72240.0
Non Khun,โนนคูน,Sisaket,14.928329999999999,104.69,37865.0,218.5,33250.0
Non Narai,โนนนารายณ์,Surin,15.23833,103.91306,35394.0,177.7,32130.0
Non Sa-at,โนนสะอาด,Udon Thani,16.97833,102.89333,48459.0,114.0,41240.0
Non Sang,โนนสัง,Nongbua Lamphu,16.865560000000002,102.57222,64172.0,111.1,39140.0
Non Sila,โนนศิลา,Khon Kaen,15.973889999999999,102.66917,25987.0,142.3,40110.0
Non Sung,โนนสูง,Nakhon Ratchasima,15.18,102.25694,130064.0,192.1,30160.0
Non Suwan,โนนสุวรรณ,Buriram,14.57833,102.59833,23170.0,122.3,31110.0
Mueang Nonthaburi,เมืองนนทบุรี,Nonthaburi,13.86222,100.51333000000001,353923.0,4591.33,11000.0
Non Thai,โนนไทย,Nakhon Ratchasima,15.198329999999999,102.06944,74911.0,138.2,30220.0
Nopphitam,นบพิตำ,Nakhon Si Thammarat,8.719439999999999,99.75166999999999,29670.0,41.2,80160.0
Nuea Khlong,เหนือคลอง,Krabi,8.07472,99.00361,54789.0,132.1,81130.0
Omkoi,อมก๋อย,Chiang Mai,17.80111,98.35861,54568.0,26.1,50310.0
Ongkharak,องครักษ์,Nakhon Nayok,14.12139,101.00389,58294.0,119.8,26120.0
Pa Bon,ป่าบอน,Phatthalung,7.27,100.17,43981.0,115.5,93170.0
Pa Daet,ป่าแดด,Chiang Rai,19.504170000000002,99.99306,26628.0,79.9,57190.0
Pai,ปาย,Mae Hong Son,19.358610000000002,98.44,29526.0,13.2,58130.0
Pak Chom,ปากชม,Loei,18.02167,101.88833000000001,37934.0,39.6,42150.0
Pak Chong,ปากช่อง,Nakhon Ratchasima,14.7125,101.42194,182588.0,100.0,30130.0
Pakham,ปะคำ,Buriram,14.438329999999999,102.72556,43446.0,146.8,31220.0
Pak Khat,ปากคาด,Bueng Kan,18.29833,103.30667,33973.0,151.5,38190.0
Pak Kret,ปากเกร็ด,Nonthaburi,13.9125,100.49833000000001,201399.0,2296.6,11120.0
Pak Phanang,ปากพนัง,Nakhon Si Thammarat,8.35833,100.20666999999999,107505.0,254.4,80140.0
Pak Phayun,ปากพะยูน,Phatthalung,7.34167,100.31667,50052.0,115.3,93120.0
Pak Phli,ปากพลี,Nakhon Nayok,14.163329999999998,101.26861,24411.0,47.0,26130.0
Pak Tho,ปากท่อ,Ratchaburi,13.367779999999998,99.83055999999999,64917.0,79.2,70140.0
Pak Thong Chai,ปักธงชัย,Nakhon Ratchasima,14.71972,102.02139,115244.0,83.9,30150.0
Palian,ปะเหลียน,Trang,7.17167,99.68666999999999,62914.0,64.7,92120.0
Pa Mok,ป่าโมก,Ang Thong,14.49,100.44806,28140.0,348.0,14130.0
Panare,ปะนาเระ,Pattani,6.86,101.49139,43131.0,299.0,94130.0
Pang Mapha,ปางมะผ้า,Mae Hong Son,19.5225,98.24611,19708.0,24.7,58150.0
Pang Sila Thong,ปางศิลาทอง,Kamphaeng Phet,16.09667,99.49,30591.0,63.7,62120.0
Pa Phayom,ป่าพะยอม,Phatthalung,7.84,99.91833000000001,32280.0,83.5,93110.0
Pa Sang,ป่าซาง,Lamphun,18.52583,98.93916999999999,58641.0,195.5,51120.0
Pathio,ปะทิว,Chumphon,10.70917,99.31833,44393.0,74.5,86160.0
Pathum Rat,ปทุมรัตต์,Roi Et,15.635,103.34333000000001,52744.0,147.8,45190.0
Pathum Ratchawongsa,ปทุมราชวงศา,Amnat Charoen,15.892220000000002,104.90583000000001,46100.0,88.5,37110.0
Mueang Pathum Thani,เมืองปทุมธานี,Pathum Thani,14.019720000000001,100.535,154412.0,1285.0,12000.0
Pathum Wan,ปทุมวัน,Krung Thep Maha Nakhon,13.736670000000002,100.52333,97533.0,11654.0,10330.0
Pa Tio,ป่าติ้ว,Yasothon,15.831389999999999,104.38556,35398.0,114.9,35150.0
Mueang Pattani,เมืองปัตตานี,Pattani,6.86861,101.25,118302.0,1221.3,94000.0
Phachi,ภาชี,Ayutthaya,14.44917,100.72833,30481.0,291.7,13140.0
Phaisali,ไพศาลี,Nakhon Sawan,15.5975,100.65805999999999,70799.0,72.3,60220.0
Phakdi Chumphon,ภักดีชุมพล,Chaiyaphum,15.905,101.42166999999999,28111.0,31.2,36260.0
Phak Hai,ผักไห่,Ayutthaya,14.458329999999998,100.37,44436.0,235.1,13120.0
Pha Khao,ผาขาว,Loei,17.066670000000002,102.02667,40047.0,86.5,42240.0
Phan,พาน,Chiang Rai,19.55389,99.74056,128143.0,125.3,57120.0
Phana,พนา,Amnat Charoen,15.683329999999998,104.84666999999999,28001.0,216.2,37180.0
Phanat Nikhom,พนัสนิคม,Chonburi,13.45222,101.17721999999999,116439.0,258.2,20140.0
Phang Khon,พังโคน,Sakon Nakhon,17.3925,103.70944,52031.0,135.6,47160.0
Phanna Nikhom,พรรณนานิคม,Sakon Nakhon,17.351670000000002,103.84666999999999,79507.0,118.0,47130.0
Phanom,พนม,Surat Thani,8.855,98.81333000000001,33513.0,47.4,84250.0
